Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation(1-5),Skill_Moves(1-5),Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes
234433,29,154.94,76.2,68,68,700000,1,2,27,17,71,48,25,40,21,20,42,56,60,65,63,64,64,37,91,58,71,17,67,67,28,32,32,49,70,68,64,9,8,7,9,5
228033,29,175.26,64.9,68,68,900000,1,3,56,56,45,67,37,67,50,37,65,64,73,72,74,72,77,60,78,76,56,56,78,74,61,65,46,67,68,75,70,14,15,8,8,12
214721,29,187.96,78.9,68,68,925000,1,3,36,71,73,54,63,62,61,56,30,66,57,51,57,64,60,74,69,61,69,65,54,17,71,47,64,53,17,18,15,8,13,14,8,15
206529,25,154.94,77.1,68,73,1200000,1,3,36,68,66,55,47,69,49,37,43,65,81,79,70,62,81,69,75,69,79,59,49,14,66,50,67,66,31,19,17,16,12,9,13,11
238784,22,185.42,81.2,68,74,1100000,1,2,36,48,62,68,36,57,39,31,64,65,63,66,65,65,64,53,83,77,78,39,64,63,51,62,37,58,65,69,67,5,8,12,14,15
221376,31,187.96,78.9,68,68,675000,1,2,47,37,72,57,30,32,25,28,52,54,63,52,56,64,57,61,73,64,73,40,71,65,38,39,37,73,65,71,68,12,7,16,10,9
201408,30,182.88,77.1,68,68,675000,1,2,67,41,65,64,37,57,59,32,59,59,78,79,70,63,67,57,75,74,67,42,70,63,57,54,44,62,63,67,64,7,8,10,16,11
237247,29,182.88,76.2,68,68,,1,2,19,32,70,42,28,33,22,21,35,51,68,72,59,72,57,44,58,66,78,21,71,62,31,28,42,64,68,72,69,15,5,8,13,15
216255,24,152.4,76.2,68,73,1200000,1,3,67,60,40,66,55,72,81,72,62,69,85,79,79,61,75,70,69,64,60,62,41,27,62,64,64,60,30,25,26,13,11,15,7,10
215999,32,152.4,73,68,68,525000,1,2,25,21,69,57,25,48,23,21,38,45,55,56,52,61,57,38,77,68,77,21,74,67,21,31,30,49,64,68,65,8,12,10,15,9
