Play_Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation_1_5,Skill_Moves_1_5
193172,27,154.94,83,71,71,2500000,1,3
183188,33,182.88,78,71,71,900000,1,3
244628,23,154.94,78.9,71,79,3500000,1,3
230292,35,165.1,62.1,71,71,1200000,1,3
201876,25,187.96,74.8,71,76,3200000,1,3
199060,31,182.88,86.2,71,71,1800000,2,2
183955,31,152.4,79.8,71,71,2100000,1,3
192658,28,152.4,72.1,71,71,1900000,2,3
224146,28,175.26,69.9,71,71,2500000,1,3
214418,28,172.72,68,71,71,2500000,1,3
207762,26,170.18,69.9,71,75,3000000,1,3
190093,31,154.94,69.9,71,71,1700000,1,3
244621,23,190.5,83,71,78,3400000,1,3
155533,34,187.96,88.9,71,71,1500000,1,2
194956,31,152.4,78,71,71,2100000,1,3
204939,26,185.42,78.9,71,74,2500000,1,3
235658,20,185.42,78,71,82,3500000,1,2
234122,22,154.94,69.9,71,76,2700000,1,3
204682,27,185.42,78.9,71,72,2800000,1,3
234889,21,182.88,79.8,71,80,3700000,1,3
233097,20,185.42,81.2,71,83,3600000,1,2
158089,35,152.4,78.9,71,71,725000,1,3
215177,31,152.4,74.8,71,71,2200000,1,3
200073,28,190.5,84.8,71,72,2200000,1,2
214408,25,187.96,78.9,71,77,2800000,1,2
243591,26,182.88,76.2,71,74,3000000,1,3
223879,29,185.42,83,71,71,2400000,1,3
214919,24,165.1,52.2,71,76,3200000,1,3
189061,29,187.96,78,71,71,1700000,1,1
187013,29,185.42,74.8,71,71,1800000,1,2
246405,23,182.88,69.9,71,77,,1,3
199813,26,182.88,82.1,71,75,2500000,1,2
236164,35,154.94,76.2,71,71,1200000,1,3
230531,31,182.88,77.1,71,71,1800000,1,2
230275,27,152.4,71.2,71,71,2500000,1,3
246914,22,175.26,74.8,71,80,3200000,1,3
232066,23,185.42,78.9,71,79,3500000,1,3
216706,26,175.26,74.8,71,72,2300000,1,2
215938,28,152.4,74.8,71,71,2000000,1,3
214146,30,172.72,72.1,71,71,1800000,1,2
200065,25,195.58,86.2,71,75,2600000,1,2
179840,30,193.04,88,71,71,1800000,1,2
172672,34,152.4,78.9,71,71,1400000,2,3
215168,26,152.4,71.2,71,72,2800000,1,3
211840,31,193.04,93.9,71,71,1800000,1,2
142720,37,172.72,68.9,71,71,270000,1,4
184703,32,165.1,67.1,71,71,1800000,1,3
169343,30,154.94,73.9,71,71,1800000,1,2
221311,28,154.94,82.1,71,71,2500000,1,4
212607,29,185.42,83.9,71,72,2200000,1,2
210303,27,182.88,78.9,71,72,2300000,1,2
234622,26,182.88,78,71,76,2700000,1,3
210814,28,182.88,79.8,71,73,2300000,1,2
190589,28,154.94,73,71,71,2500000,1,3
211325,26,154.94,83,71,73,2800000,1,3
204920,29,185.42,79.8,71,71,1800000,1,2
197240,28,182.88,76.2,71,71,2500000,1,3
193143,27,193.04,88.9,71,74,2400000,1,2
230263,27,175.26,69.9,71,71,2500000,1,3
215159,32,152.4,68.9,71,71,1800000,1,3
214135,29,195.58,86.2,71,72,2200000,1,2
194934,29,152.4,72.1,71,72,1900000,1,1
189558,27,195.58,88.9,71,72,2200000,1,2
164470,34,187.96,81.2,71,71,950000,1,3
204406,33,152.4,84.8,71,71,950000,1,2
193909,30,185.42,78,71,71,1800000,1,2
193141,32,152.4,81.2,71,71,1300000,1,2
224885,28,152.4,76.2,71,71,1900000,1,3
207733,25,182.88,79.8,71,75,3000000,1,3
200309,27,187.96,77.1,71,72,2300000,1,3
198261,31,187.96,79.8,71,71,1800000,1,2
112244,37,182.88,71.2,71,71,750000,2,2
216692,39,182.88,83.9,71,71,160000,1,1
214388,30,152.4,77.1,71,71,2300000,1,4
211060,29,154.94,78,71,71,1900000,1,3
210548,23,152.4,72.1,71,79,3400000,1,3
202356,31,182.88,73,71,71,1700000,1,2
190579,29,152.4,69.9,71,71,1800000,1,3
246387,22,182.88,79.8,71,78,2800000,1,2
239475,19,175.26,62.1,71,81,3700000,1,3
233075,29,185.42,81.2,71,71,1900000,1,2
177522,34,172.72,62.1,71,71,1400000,1,4
232562,24,185.42,82.1,71,77,2400000,1,1
163186,34,185.42,78.9,71,71,725000,2,3
199282,28,172.72,71.2,71,71,1900000,1,2
191089,25,190.5,89.8,71,75,3100000,1,3
183921,32,172.72,69.9,71,71,2100000,1,2
203633,25,152.4,73.9,71,73,2900000,1,3
197233,26,190.5,82.1,71,75,2100000,1,1
222832,25,152.4,72.1,71,74,3000000,1,3
198000,31,175.26,74.8,71,71,1700000,1,3
192367,33,154.94,82.1,71,71,1400000,1,2
241775,27,190.5,83,71,74,2500000,1,2
216175,26,185.42,79.8,71,75,2200000,1,1
212079,26,170.18,74.8,71,76,2700000,1,3
186990,28,185.42,82.1,71,72,1800000,1,1
220782,23,152.4,78.9,71,77,2800000,1,3
217710,27,152.4,76.2,71,71,2600000,1,3
202605,27,190.5,82.1,71,74,2500000,1,2
205158,25,154.94,73.9,71,74,3000000,1,3
233061,22,154.94,67.1,71,81,3800000,1,3
232293,20,185.42,78,71,82,4000000,1,3
161636,34,154.94,78,71,71,950000,1,2
223332,25,172.72,74.8,71,73,2900000,1,3
213092,24,170.18,78.9,71,76,2700000,1,2
201572,30,154.94,76.2,71,71,,1,3
206435,29,185.42,78.9,71,71,,1,3
203875,25,190.5,83.9,71,74,2500000,1,2
239970,18,152.4,77.1,71,86,4700000,1,4
214369,30,152.4,71.2,71,71,2300000,1,3
192608,30,172.72,68,71,71,2300000,1,3
188000,30,175.26,69.9,71,71,1800000,1,2
235103,23,175.26,68,71,77,3200000,1,3
214366,26,172.72,74.8,71,74,2900000,1,2
234333,20,182.88,76.2,71,85,5000000,1,4
176732,33,185.42,82.1,71,71,1400000,1,2
225884,31,175.26,73.9,71,71,,1,3
214876,24,172.72,71.2,71,78,3400000,1,2
192091,29,154.94,81.2,71,71,1800000,1,2
190555,30,152.4,72.1,71,71,1800000,1,3
230235,31,172.72,76.2,71,71,1800000,1,2
202331,25,152.4,74.8,71,76,3100000,1,3
194906,35,182.88,76.2,71,71,1100000,1,3
188762,33,187.96,88,71,71,950000,1,2
184154,29,154.94,78.9,71,71,2400000,1,3
231002,24,190.5,84.8,71,75,2600000,1,2
214106,31,154.94,77.1,71,71,1600000,1,3
208730,30,182.88,78,71,71,1800000,1,3
183385,33,152.4,81.2,71,71,1400000,1,3
198489,29,154.94,69.9,71,71,2300000,2,3
179544,32,175.26,76.2,71,71,1600000,2,3
219736,23,195.58,86.2,71,77,2400000,1,1
201304,27,152.4,71.2,71,71,2600000,1,3
180823,30,182.88,79.8,71,71,1800000,1,3
227927,21,175.26,64,71,80,3200000,1,3
214615,31,182.88,78.9,71,71,2100000,1,3
211287,27,152.4,71.2,71,71,2500000,1,4
199511,31,182.88,87.1,71,71,1800000,1,2
172886,33,193.04,79.8,71,71,950000,1,2
230486,35,154.94,79.8,71,71,1200000,1,3
213846,32,152.4,74.8,71,71,1600000,1,2
190549,26,187.96,79.8,71,73,2800000,1,3
158293,38,154.94,74.8,71,71,325000,1,3
207440,26,167.64,64.9,71,72,2800000,1,3
224591,24,187.96,79.8,71,79,3000000,1,3
217167,23,170.18,66.2,71,80,3600000,1,3
237646,22,182.88,76.2,71,79,3000000,1,2
228942,22,182.88,78,71,78,3300000,1,3
159566,33,175.26,79.8,71,71,1400000,1,3
223054,27,175.26,76.2,71,71,2500000,1,3
234573,22,172.72,72.1,71,78,2800000,1,4
215373,23,182.88,69.9,71,76,3200000,1,3
170828,33,182.88,73.9,71,71,,1,5
202060,25,187.96,87.1,71,75,2600000,1,2
199244,28,187.96,86.2,71,73,2200000,1,2
198220,27,182.88,73,71,72,2700000,1,3
228171,23,154.94,73,71,79,3500000,1,3
209483,24,185.42,79.8,71,78,2400000,1,1
208459,26,193.04,93.9,71,74,2400000,1,2
188234,31,193.04,89.8,71,71,1600000,1,2
241994,24,170.18,64,71,75,3100000,1,3
234570,19,175.26,67.1,71,85,5000000,1,4
223818,28,187.96,83.9,71,71,1900000,1,2
209738,33,187.96,87.1,71,71,1400000,1,2
200778,26,187.96,78,71,74,2400000,1,3
180808,31,182.88,78,71,71,1600000,1,2
179528,32,182.88,82.1,71,71,1600000,1,2
220488,23,175.26,69.9,71,77,3200000,1,3
213064,26,154.94,77.1,71,73,2400000,1,2
144200,27,152.4,68.9,71,72,2200000,1,3
204104,26,195.58,94.8,71,73,2900000,1,3
186695,28,185.42,78,71,73,2300000,1,2
